idx,caption,caption_en
1,흰색배경에 앉아있는 개 사진,Dog photo sitting on a white background
2,어느곳을 바라보는 개의 얼굴 사진,The picture of the dog's face looking at anywhere
3,푸른 잔디에 앉아있는 개 사진,Dog photo sitting on blue grass
4,검은 무늬의 서있는 강아지 캐릭터,A black pattern standing dog character
5,푸른 잔디에 앉아있는 개 사진,Dog photo sitting on blue grass
6,갈색 무늬를 가진 앉아있는 강아지 캐릭터,A dog character with a brown pattern
7,흑백배경으로 앉아있는 만화풍의 강아지,A cartoon -style puppy sitting in a black and white background
8,뼈다귀 앞에서 기다리는 갈색강아지 캐릭터,Brown dog character
9,강아지 얼굴 이모티콘,Puppy face emoticon
10,강아지 이코티콘,Puppy emoticon
11,"정면을 바라보는 검은색, 흰색 고양이 얼굴 사진","Black, white cat's face looking at the front"
12,"날카로워보이는 검은색, 갈색 줄무늬 고양이 얼굴 사진","Black color that looks sharp, brown striped cat face photo"
13,의자 밑에 앉아있는 주황생 고양이 사진,An orange cat photo sitting under the chair
14,도로위를 걷고있는 검은색 고양이 사진,A picture of a black cat walking on the road
15,황토색 점박이 고양이 캐릭터,Ocher
16,검은색 고양이 캐릭터,Black cat character
17,물속을 헤엄치는 갈색줄무늬 고양이 캐릭터,Brown striped cat character swimming in the water
18,고양이 얼굴 이모티콘,Cat face emoticon
19,검은 고양이 이모티콘,Black cat emoticon
20,검은 고양이 얼굴 이모티콘,Black cat face emoticon
21,팔짱을 끼고 웃고있는 파란티의 남자,"Blue Tea, who is smiling with arms folded"
22,청바지를 입고 서있는 남자,A man standing in jeans
23,난간에 팔을 얹고 바다와 섬을 배경으로 사진에 찍힌 남자,A man with his arms on the railing and a photo against the sea and island in the background
24,계단 안전펜스에 걸터 앉은 하얀바지의 셔츠를 입은 남자 사진,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence
25,턱수염이 나 있는 남자 캐릭터,A male character with a beard
26,턱수염의 뚱뚱한 남자 캐릭터,Beard's fat male character
27,검은 옷을 입은 남자 게임 캐릭터,Men's game character dressed in black
28,머리가 베이지 색인 남자 게임 캐릭터,Male game character with beige beige beige
29,정장을 입은 상반신 남자 캐릭터,Male character in the upper body wearing a suit
30,셔츠에 넥타이를 맨 상반신 남자 캐릭터,The upper body male character with a tie on the shirt
31,길거리 가로수를 배경으로 사진에 찍힌 긴머리의 여성,A long hair woman taken in a photo against the background of street trees
32,하얀셔츠를 입고있는 긴 검은머리의 여성 사진,A picture of a long black hair wearing a white shirt
33,헬스장에서 운동하고 있는 여성 사진,Women's photographs exercising at the gym
34,갈대밭에서 바람을 맞으며 걷고있는 빨간치마를 입은 여성의 사진,A picture of a woman wearing a red skirt walking in the wind in the reed field
35,타이트한 옷을 입고있는 하얀머리의 여성 게임 캐릭터,White hair female game character wearing tight clothes
36,핫팬츠를 입고 머리가 붉은 여성 게임 캐릭터,Wearing hot pants and having red hair
37,파을 벌리며 웃고있는 여성 캐릭터,A female character smiling with a green onion
38,팔짱을 끼고 웃고있는 셔츠를 입은 금발의 여성 캐릭터,A blonde female character wearing a shirt with arms folded
39,여성 캐릭터 상반신,Female character
40,여성 이모티콘,Female emoticon
41,숲속을 달리는 빨간색 차,Red tea
42,정면에서 달려오고 있는 검정색 자동차,Black car running from the front
43,빨간 자동차 캐릭터,Red car character
44,물살을 가르며 나아가고있는 선박의 정면모습,The front of the ship moving to the water
45,바다위에 떠있는 돛이 달린 배,Pear
46,배 이모티콘,Pear emoticon
47,바다를 항해하고 있는 항공모함,Aircraft carriers sailing the sea
48,철도를 지나고 있는 빨간색 기차,Red train passing through the railway
49,기차 캐릭터,Train character
50,하얀색 로봇,White robot
51,생각하고 있는 안경을 낀 턱수염난 남성 캐릭터,Weary male character wearing glasses you are thinking about
52,달리고 있는 주황색 옷의 남성 캐릭터,Male character of orange clothes running
53,파란 나시를 입고 달리는 남성,A man who runs in blue nashi
54,파란 옷을 입고 달리는 남성 사진,A picture of a man running in blue clothes
55,주황티에 청바지를 입고 춤추는 남성사진,A picture of a male dancing wearing jeans
56,길바닥에서 춤공연을 하고있는 남성사진,A photo of a male performing on the street
57,정장을 입고 춤추는 남성 캐릭터,A male character dancing in a suit
58,신나게 춤추고 있는 남성 캐릭터,A male character dancing
59,상반신을 탈의한 채 운동하고 있는 몸이 좋은 남성,A good man who is exercising while undressing the upper body
60,벤치에 앉아서 팡운동하고 있는 몸이 좋은 남성,A good man who sits on the bench and is exercising
61,페어로 운동하고 있는 여성,A woman who is exercising with a pair
62,앉아서 등운동을 하고있는 몸이 좋은 여성,A woman with a good body sitting and back
63,운동하고 있는 여성 캐릭터,A female character who is exercising
64,달리고 있는 여성 캐릭터,Female character running
65,달리고 있는 여성 캐릭터 정면 모습,The front of the female character running
66,파란티를 입고 달리고 있는 여성의 사진,Photo of a woman running in blue
